have,author,title,release date,book url
,Mike Hockney,Science's War On Reason (The God Series Book 31),"Sep 17, 2015",https://amazon.com/gp/product/B015JLMWVY
,Mike Hockney,The Armageddon Conspiracy (The Coded Series Book 1),"Mar 2, 2010",https://amazon.com/gp/product/B003AKZC00
,Mike Hockney,The Forbidden History of Science (The God Series Book 26),"Apr 26, 2015",https://amazon.com/gp/product/B00WRSMORA
,Mike Hockney,The God Blunder (The God Series Book 5),"Aug 5, 2012",https://amazon.com/gp/product/B008THBM12
,Mike Hockney,The God Equation (The God Series Book 6),"Sep 3, 2012",https://amazon.com/gp/product/B0095WVJ8G
,Mike Hockney,The God Factory (The God Series Book 2),"Aug 19, 2011",https://amazon.com/gp/product/B005I6IXPU
,Mike Hockney,The God Game (The God Series Book 1),"Jul 4, 2012",https://amazon.com/gp/product/B008H540EM
,Mike Hockney,The God Secret (The God Series Book 7),"Oct 4, 2012",https://amazon.com/gp/product/B009LU7B4S
,Mike Hockney,The Holographic Soul (The God Series Book 30),"Aug 31, 2015",https://amazon.com/gp/product/B014RN0DHA
,Mike Hockney,The Last Bling King (The Coded Series Book 4),"Mar 2, 2010",https://amazon.com/gp/product/B003A4ID52
,Mike Hockney,The Last Man Who Knew Everything (The God Series Book 3),"Jul 14, 2012",https://amazon.com/gp/product/B008LHYVX6
,Mike Hockney,The Mathematical Universe (The God Series Book 14),"Jan 5, 2014",https://amazon.com/gp/product/B00HQ0ABFG
,Mike Hockney,The Mathmos (The God Series Book 15),"Mar 3, 2014",https://amazon.com/gp/product/B00IRNC4IS
,Mike Hockney,The Millionaires' Death Club (The Coded Series Book 2),"Mar 2, 2010",https://amazon.com/gp/product/B003A4IB1S
,Mike Hockney,The Noosphere (The God Series Book 9),"Feb 11, 2013",https://amazon.com/gp/product/B00BEPTNE4
,Mike Hockney,The Omega Point (The God Series Book 10),"Mar 26, 2013",https://amazon.com/gp/product/B00C1SL8E6
,Mike Hockney,The Sam Harris Delusion (The God Series Book 22),"Dec 14, 2014",https://amazon.com/gp/product/B00R1Z3PIG
,Mike Hockney,The Science of Monads (The God Series Book 24),"Jan 9, 2015",https://amazon.com/gp/product/B00S33CL80
,Mike Hockney,The War of the Ghosts and Machines (The God Series Book 28),"Jun 2, 2015",https://amazon.com/gp/product/B00YSKNDAM
,Mike Hockney,Transcendental Mathematics (The God Series Book 25),"Feb 15, 2015",https://amazon.com/gp/product/B00TO0NVIK
,Mike Hockney,Why Math Must Replace Science (The God Series Book 18),"Jun 27, 2014",https://amazon.com/gp/product/B00LD39NEM
,Mike Hockney,"World, Overworld, Underworld, Dreamworld (The God Series Book 13)","Dec 24, 2013",https://amazon.com/gp/product/B00HIQBKRG
,Peter Brennan,Fusions Versus Fissions: Are You a Joiner or a Splitter?,"Jul 23, 2019",https://amazon.com/gp/product/B07VQJVLGL
,Ranty McRanterson,"Freedumb and Dumbocracy: Libertarians, Dogs, Goyim, the Internet, and Last Men","Dec 20, 2016",https://amazon.com/gp/product/B01MQY67M6
,Ranty McRanterson,Full Retard: The Dumbest Just Got Dumber,"Apr 12, 2017",https://amazon.com/gp/product/B071CQBR81
,Ranty McRanterson,Kill God!: The Hunt for the Cosmic War Criminal,"Nov 14, 2016",https://amazon.com/gp/product/B01N2GROHK
,Ranty McRanterson,Kill Religion!: The Deserved Death of Faith,"Dec 1, 2016",https://amazon.com/gp/product/B01MYUTUO7
,Ranty McRanterson,Planet Stupid: How Earth Got Dumber and Dumber,"Jun 2, 2016",https://amazon.com/gp/product/B01GKH4E7Q
,Ranty McRanterson,Regatta De Mort: The Mad God,"Jan 3, 2018",https://amazon.com/gp/product/B078SX24K4
,Spiro Hamilton,"Damn, You Just Got Bit: A Handbook for New Vampires","Oct 10, 2020",https://amazon.com/gp/product/B08L21S98V
,Spiro Hamilton,The Vampire Path to God!: My Desperate Plan to Contact God,"Sep 8, 2020",https://amazon.com/gp/product/B08HRCX5XS
,Steve Madison,Logos: Logical Religion Unleashed,"Aug 17, 2020",https://amazon.com/gp/product/B08G59Z7F4
,Steve Madison,Soul Science: Know Your Soul,"Aug 16, 2020",https://amazon.com/gp/product/B08G1XY9KH
,Steve Madison,The Dark Triad: How the Psychopaths Took Control,"Jun 24, 2020",https://amazon.com/gp/product/B08BTL6NWC
,Steve Madison,The Musical Theory of Existence: Hearing the Music of the Spheres,"May 26, 2020",https://amazon.com/gp/product/B0897YXXMR
,Steve Madison,The Quality Agenda: The Search for Excellence,"Jun 22, 2020",https://amazon.com/gp/product/B08BPJ6ZP8
,Steve Madison,The Story of Your Life,"Apr 21, 2020",https://amazon.com/gp/product/B087GHHYN4
,Steve Madison,The Universe Has Your Back: Trust the Cosmos,"Jun 17, 2019",https://amazon.com/gp/product/B07T6H4GCW
,Steve Madison,Think Like an Egyptian: How the Ancient Mind Worked,"Jun 22, 2020",https://amazon.com/gp/product/B08BQ8WVQN
,Steve Madison,Transconsciousness,"Apr 22, 2020",https://amazon.com/gp/product/B087JXJPYL
,Steve Madison,Ultrahuman,"Mar 17, 2020",https://amazon.com/gp/product/B08626HQH3
,Steve Madison,What's Eating You?: How the World Is Screwing You Up,"Mar 17, 2020",https://amazon.com/gp/product/B086253MR2
,Steve Madison,When the Universe Spoke to Humanity: Humanity Before the Fall,"Jun 13, 2019",https://amazon.com/gp/product/B07T2NWTFQ
,Tom Strabo,Donald J. Trump: The American Pericles?,"Sep 20, 2016",https://amazon.com/gp/product/B01LYKTV1Y
,Tom Strabo,Donald John Trump: The American Akhenaten,"Sep 27, 2016",https://amazon.com/gp/product/B01LXOO9VS
,Tom Strabo,Donald Trump: The American Caesar,"Sep 11, 2016",https://amazon.com/gp/product/B01LXHF3P2
,Tom Strabo,National Capitalism: How to Save America,"Oct 5, 2016",https://amazon.com/gp/product/B01LZ332FJ
,Tom Strabo,The Deplorables: Trump's Army,"Oct 12, 2016",https://amazon.com/gp/product/B01M7PL4ZH
,Tom Strabo,Trump: The American Moses,"Oct 2, 2016",https://amazon.com/gp/product/B01LX33WJK
,Zak Jones,The Adrenochrome Conspiracy: The Nazi Heritage of the Global Elite,"May 16, 2020",https://amazon.com/gp/product/B088QQ45LZ
